#nelems=960 dxmin=122250 elmin=442339 elmax=1.03963e+06 elavg=755092
#time    dt      den_tot        e           d KE      
39.2599    0.00829166    2.287498183282118e+01    8.309469917879361e+07    6.690808368315431e+02
39.2682    0.00849895    2.287498077910110e+01    8.309469423736534e+07    6.692593281994461e+02
39.2767    0.00871143    2.287497966462231e+01    8.309468901102468e+07    6.694436952532371e+02
39.2854    0.00892921    2.287497848612407e+01    8.309468348448145e+07    6.696341505714475e+02
39.2943    0.00915244    2.287497724017594e+01    8.309467764164968e+07    6.698309157199988e+02
39.3035    0.00938125    2.287497592316906e+01    8.309467146560676e+07    6.700342216421302e+02
39.3129    0.00961579    2.287497453130701e+01    8.309466493855061e+07    6.702443090676896e+02
39.3225    0.00985618    2.287497306059619e+01    8.309465804175450e+07    6.704614289426727e+02
39.3324    0.0101026    2.287497150683572e+01    8.309465075551972e+07    6.706858428799618e+02
39.3425    0.0103551    2.287496986560678e+01    8.309464305912572e+07    6.709178236322525e+02
39.3528    0.010614    2.287496813226150e+01    8.309463493077785e+07    6.711576555882167e+02
39.3634    0.0108794    2.287496630191120e+01    8.309462634755225e+07    6.714056352930022e+02
39.3743    0.0111514    2.287496436941409e+01    8.309461728533816e+07    6.716620719942233e+02
39.3855    0.0114301    2.287496232936227e+01    8.309460771877708e+07    6.719272882146661e+02
39.3969    0.0117159    2.287496017606813e+01    8.309459762119894e+07    6.722016203529834e+02
39.4086    0.0120088    2.287495790355009e+01    8.309458696455507e+07    6.724854193137292e+02
39.4206    0.012309    2.287495550551749e+01    8.309457571934764e+07    6.727790511681459e+02
39.4329    0.0126167    2.287495297535486e+01    8.309456385455561e+07    6.730828978471988e+02
39.4455    0.0129322    2.287495030610524e+01    8.309455133755684e+07    6.733973578684121e+02
39.4585    0.0132555    2.287494749045281e+01    8.309453813404627e+07    6.737228470981611e+02
39.4717    0.0135869    2.287494452070450e+01    8.309452420795000e+07    6.740597995511398e+02
39.4853    0.0139265    2.287494138877075e+01    8.309450952133486e+07    6.744086682288267e+02
39.4992    0.0142747    2.287493808614525e+01    8.309449403431349e+07    6.747699259988499e+02
39.5135    0.0146316    2.287493460388364e+01    8.309447770494463e+07    6.751440665172622e+02
39.5281    0.0149973    2.287493093258121e+01    8.309446048912819e+07    6.755316051958268e+02
39.5431    0.0153723    2.287492706234935e+01    8.309444234049512e+07    6.759330802165289e+02
39.5585    0.0157566    2.287492298279087e+01    8.309442321029167e+07    6.763490535956380e+02
39.5743    0.0161505    2.287491868297408e+01    8.309440304725763e+07    6.767801122997600e+02
39.5904    0.0165543    2.287491415140552e+01    8.309438179749864e+07    6.772268694164453e+02
39.607    0.0169681    2.287490937600128e+01    8.309435940435176e+07    6.776899653820467e+02
39.6239    0.0173923    2.287490434405694e+01    8.309433580824430e+07    6.781700692696586e+02
39.6413    0.0178271    2.287489904221592e+01    8.309431094654560e+07    6.786678801401065e+02
39.6592    0.0182728    2.287489345643623e+01    8.309428475341107e+07    6.966099191488737e+02
39.6774    0.0187296    2.287488757195556e+01    8.309425715961847e+07    7.218339305081159e+02
39.6962    0.0191979    2.287488137325456e+01    8.309422809239583e+07    7.482154095699098e+02
39.7154    0.0196778    2.287487484401831e+01    8.309419747524053e+07    7.758099592793858e+02
39.735    0.0201698    2.287486796709575e+01    8.309416522772941e+07    8.046759219603045e+02
39.7552    0.020674    2.287486072445715e+01    8.309413126531905e+07    8.348745160374634e+02
39.7759    0.020674    2.287485309714932e+01    8.309409549913597e+07    8.664699796243215e+02
